4.47	womb
4.49	testicle
4.492	penis
4.51	breathe, breath
4.52	yawn, gape
4.521	hiccough
4.53	cough
4.54	sneeze
4.55	perspire
4.56	spit
4.57	vomit
4.58	bite
4.59	lick
4.591	dribble
4.61	sleep
4.612	snore
4.62	dream
4.63	wake up
4.64	break wind
4.65	urinate
4.66	defecate
4.67	have sexual intercourse
4.68	shiver
4.69	bathe
4.71	beget (of father)
4.72	born (to be)
4.73	pregnant
4.732	conceive
4.74	live, living, life
4.75	die, dead
4.751	drowned
4.76	kill
4.77	corpse
4.78	bury (the dead)
4.79	grave, tomb
4.81	strong, mighty, powerful
4.82	weak
4.83	well, health
4.84	sick, sickness
4.841	fever
4.842	goiter
4.843	cold (catarrh)
4.85	wound, sore
4.852	bruise
4.853	swelling
4.854	itch
4.855	blister
4.856	boil (noun)
4.857	pus
4.858	scar
4.86	cure, heal
4.87	physician
4.88	medicine, drug
4.89	poison
4.91	tired, weary
4.912	rest
4.92	lazy
4.93	bald
4.94	lame
4.95	deaf
4.96	mute
4.97	blind
4.98	intoxicated
4.99	naked, bare
5.11	eat
5.12	food
5.121	cooked
5.122	raw
5.123	ripe
5.124	green, unripe
5.125	rotten
5.13	drink
5.14	hunger
5.141	famine
5.15	thirst
5.16	suck
5.18	chew
5.181	swallow
5.19	choke
5.21	cook
5.22	boil (vb)
5.23	roast, fry
5.24	bake
5.25	oven
5.26	pot, cooking vessel
5.27	kettle
5.28	pan
5.31	dish
5.32	plate
5.33	bowl
5.34	pitcher, jug
5.35	cup, drinking vessel
5.36	saucer
5.37	spoon
5.38	knife
5.39	fork
5.391	tongs
5.41	meal (a)
5.42	breakfast
5.43	lunch
5.44	dinner
5.45	supper
5.46	peel
5.47	sieve, strain
5.48	scrape
5.49	stir, mix
5.51	bread
5.53	dough
5.54	knead
5.55	meal, flour
5.56	crush, grind
5.57	mill
5.58	mortar
5.59	pestle
5.61	meat
5.63	sausage
5.64	soup, broth
5.65	vegetables
5.66	bean
5.7	potato
5.71	fruit
5.712	bunch
5.75	fig
5.76	grape
5.77	nut
5.78	olive
5.79	oil
5.791	grease, fat
5.81	salt
5.82	pepper
5.821	chili pepper
5.84	honey
5.85	sugar
5.86	milk (noun)
5.87	milk (vb)
5.88	cheese
5.89	butter
5.9	beverage, drink
5.91	mead
5.92	wine
5.93	beer
5.94	fermented drink
5.97	egg
5.971	egg yolk
6.11	put on (clothes)
6.12	clothing, clothes
6.13	tailor
6.21	cloth
6.22	wool
6.23	linen, flax
6.24	cotton
6.25	silk
6.27	felt
6.28	fur
6.29	leather
6.31	spin
6.32	spindle
6.33	weave
6.34	loom
6.35	sew
6.36	needle
6.37	awl
6.38	thread
6.39	dye
6.41	cloak
6.411	poncho
6.42	woman's dress
6.43	coat
6.44	shirt
6.45	collar
6.46	skirt
6.461	grass-skirt
6.48	trousers
6.49	stocking, sock
6.51	shoe
6.52	boot
6.54	shoemaker, cobbler
6.55	hat, cap
6.57	belt, girdle
6.58	glove
6.59	veil
6.61	pocket
6.62	button
6.63	pin
6.71	ornament, adornment
6.72	jewel
6.73	ring (for finger)
6.74	bracelet
6.75	necklace
6.76	bead
6.77	earring
6.78	headband, headdress
6.79	tattoo
6.81	handkerchief, rag
6.82	towel
6.91	comb
6.92	brush
6.921	braid
6.93	razor
6.94	ointment
6.95	soap
6.96	mirror
7.11	dwell, live
7.12	house
7.13	hut
7.131	garden-house
7.14	tent
7.15	yard, court
7.16	men's house
7.17	cookhouse
7.18	meeting house
7.21	room
7.22	door, gate
7.221	doorpost, jamb
7.23	lock (noun)
7.231	latch, door-bolt
7.24	key
7.25	window
7.26	floor
7.27	wall
7.31	fireplace
7.32	stove
7.33	chimney
7.37	ladder
7.42	bed
7.421	pillow
7.422	blanket
7.43	chair
7.44	table
7.45	lamp, torch
7.46	candle
7.47	shelf
7.48	trough
7.51	roof
7.52	thatch
7.53	ridgepole
7.54	rafter
7.55	beam
7.56	post, pole
7.57	board
7.58	arch
7.61	mason
7.62	brick
7.63	mortar
7.64	adobe
8.11	farmer
8.12	field (for cultivation)
8.13	garden
8.15	cultivate, till
8.16	fence
8.17	ditch
8.21	plow
8.212	furrow
8.22	dig
8.23	spade
8.24	shovel
8.25	hoe
8.26	fork
8.27	rake
8.31	sow
8.311	seed
8.32	mow, reap
8.33	sickle, scythe
8.34	thresh
8.35	threshing-floor
8.41	crop, harvest
8.42	grain (barley, oats etc)
8.43	wheat
8.44	barley
8.45	rye
8.46	oats
8.47	maize, corn
8.48	rice
8.51	grass
8.52	hay
8.53	plant (noun)
8.531	plant (vb)
8.54	root
8.55	branch
8.56	leaf
8.57	flower
8.6	tree
8.61	oak
8.62	beech
8.63	birch
8.64	pine
8.65	fir
8.66	acorn
8.67	vine
8.68	tobacco
8.69	smoke (tobacco)
8.691	pipe
8.72	tree stump
8.73	tree trunk
8.74	forked branch
